SKU,Name,Profit ($),Profit (%),Retail Price ($),Resale Price ($),Year,Nike Link,Goat Link
FB2184-001,Wmns Asuna 3 Next Nature Slide 'Black White',93.47,207.71,45,153,2023,https://www.nike.com/t/asuna-3-next-nature-womens-slides-Tsj7hf/FB2184-001,https://www.goat.com/search?query=FB2184-001
FB2184-001,Wmns Asuna 3 Next Nature Slide 'Black White',93.47,207.71,45,153,2023,https://www.nike.com/t/asuna-3-next-nature-womens-slides-Tsj7hf/FB2184-001,https://www.goat.com/search?query=FB2184-001
FN4137-800,College Offcourt Slide 'Florida 2024',93.03,232.58,40,147,2024,https://www.nike.com/t/offcourt-florida-slides-PWWKqs/FN4137-800,https://www.goat.com/search?query=FN4137-800
FN4475-800,College Offcourt Slide 'Texas Longhorns 2024',93.03,232.58,40,147,2024,https://www.nike.com/t/offcourt-texas-slides-bBZdrR/FN4475-800,https://www.goat.com/search?query=FN4475-800
FN4482-400,College Offcourt Slide 'UNC',93.03,232.58,40,147,2024,https://www.nike.com/t/offcourt-unc-slides-vpjRcw/FN4482-400,https://www.goat.com/search?query=FN4482-400
FN4304-001,College Offcourt Slide 'Ohio State',93.03,232.58,40,147,2024,https://www.nike.com/t/offcourt-ohio-state-slides-L9pm2h/FN4304-001,https://www.goat.com/search?query=FN4304-001
FN4139-600,College Offcourt Slide 'Georgia 2024',93.03,232.58,40,147,2024,https://www.nike.com/t/offcourt-georgia-slides-MXmxs5/FN4139-600,https://www.goat.com/search?query=FN4139-600
FN4139-600,College Offcourt Slide 'Georgia 2024',93.03,232.58,40,147,2024,https://www.nike.com/t/offcourt-georgia-slides-MXmxs5/FN4139-600,https://www.goat.com/search?query=FN4139-600
FN4132-400,College Offcourt Slide 'Duke',93.03,232.58,40,147,2024,https://www.nike.com/t/offcourt-duke-slides-rG99bN/FN4132-400,https://www.goat.com/search?query=FN4132-400
FN4132-400,College Offcourt Slide 'Duke',93.03,232.58,40,147,2024,https://www.nike.com/t/offcourt-duke-slides-rG99bN/FN4132-400,https://www.goat.com/search?query=FN4132-400
FN4297-700,College Offcourt Slide 'Michigan',93.03,232.58,40,147,2024,https://www.nike.com/t/offcourt-michigan-slides-C0Sllb/FN4297-700,https://www.goat.com/search?query=FN4297-700
FN4310-700,College Offcourt Slide 'Oregon 2024',93.03,232.58,40,147,2024,https://www.nike.com/t/offcourt-oregon-slides-SNx0fJ/FN4310-700,https://www.goat.com/search?query=FN4310-700
DD0526-002,NFL x Offcourt Slide 'New York Giants',93.03,232.58,40,147,2023,https://www.nike.com/t/offcourt-new-york-giants-slide-5GQNJH/DD0526-002,https://www.goat.com/search?query=DD0526-002
FN4454-001,NFL x Offcourt Slide 'Las Vegas Raiders',93.03,232.58,40,147,2024,https://www.nike.com/t/offcourt-las-vegas-raiders-offcourt-slides-F34Hnf/FN4454-001,https://www.goat.com/search?query=FN4454-001
DD0514-002,NFL x Offcourt Slide 'Arizona Cardinals',93.03,232.58,40,147,2023,https://www.nike.com/t/offcourt-arizona-cardinals-slide-MmWZ1t/DD0514-002,https://www.goat.com/search?query=DD0514-002
DH6984-002,MLB x Offcourt Slide 'Miami Marlins',93.03,232.58,40,147,2023,https://www.nike.com/t/offcourt-miami-marlins-slide-B2ZZsZ/DH6984-002,https://www.goat.com/search?query=DH6984-002
DD0514-002,NFL x Offcourt Slide 'Arizona Cardinals',93.03,232.58,40,147,2023,https://www.nike.com/t/offcourt-arizona-cardinals-slide-MmWZ1t/DD0514-002,https://www.goat.com/search?query=DD0514-002
DH6984-002,MLB x Offcourt Slide 'Miami Marlins',93.03,232.58,40,147,2023,https://www.nike.com/t/offcourt-miami-marlins-slide-B2ZZsZ/DH6984-002,https://www.goat.com/search?query=DH6984-002
DV4344-700,Tiempo Legend 10 Club MG 'Mad Ready Pack',93.02,186.15,49.97,158,2024,https://www.nike.com/t/tiempo-legend-10-club-multi-ground-low-top-soccer-cleats-tDmM45/DV4344-700,https://www.goat.com/search?query=DV4344-700
FD0731-001,Zoom Blazer Mid SB 'Anthracite Black',92.78,149.72,61.97,171,2023,https://www.nike.com/t/sb-zoom-blazer-mid-skate-shoes-lCFcxG/FD0731-001,https://www.goat.com/search?query=FD0731-001
FB1446-900,SFB Jungle 2 8 Inch Leather 'Coyote',92.66,71.29,129.97,246,2024,https://www.nike.com/t/sfb-jungle-2-8-leather-mens-shoes-CF9ZML/FB1446-900,https://www.goat.com/search?query=FB1446-900
FQ3875-001,Alpha Menace 4 Shark Wide 'Black White',92.52,168.22,55,163,2024,https://www.nike.com/t/alpha-menace-4-shark-football-cleats-wide-kJLfCJ/FQ3875-001,https://www.goat.com/search?query=FQ3875-001
HJ4497-300,V2K Run 'Vintage Green',91.77,76.47,120,234,2024,https://www.nike.com/t/v2k-run-shoes-DDV2HS/HJ4497-300,https://www.goat.com/search?query=HJ4497-300
864349-204,Zoom Blazer Mid SB 'Oxen Brown',91.74,169.98,53.97,161,2022,https://www.nike.com/t/sb-zoom-blazer-mid-skate-shoes-ZLRvRZ/864349-204,https://www.goat.com/search?query=864349-204
864349-204,Zoom Blazer Mid SB 'Oxen Brown',91.74,169.98,53.97,161,2022,https://www.nike.com/t/sb-zoom-blazer-mid-skate-shoes-ZLRvRZ/864349-204,https://www.goat.com/search?query=864349-204
DD0557-002,NFL x Offcourt Slide 'Houston Texans',91.7,262.0,35,140,2023,https://www.nike.com/t/offcourt-houston-texans-slide-3zL1BJ/DD0557-002,https://www.goat.com/search?query=DD0557-002
DD0557-002,NFL x Offcourt Slide 'Houston Texans',91.7,262.0,35,140,2023,https://www.nike.com/t/offcourt-houston-texans-slide-3zL1BJ/DD0557-002,https://www.goat.com/search?query=DD0557-002
FD6454-004,Downshifter 13 'Black Hyper Crimson Blue',91.52,122.03,75,184,2024,https://www.nike.com/t/downshifter-13-mens-road-running-shoes-4M0LNf/FD6454-004,https://www.goat.com/search?query=FD6454-004
DJ6524-105,Alpha Huarache 4 Keystone 'White Hyper Royal Splatter',90.75,201.67,45,150,2024,https://www.nike.com/t/alpha-huarache-4-keystone-mens-baseball-cleats-dGXhG3/DJ6524-105,https://www.goat.com/search?query=DJ6524-105
685134-004,Zoom Rival SD 2 'Anthracite Light Lemon Twist',89.74,160.34,55.97,161,2023,https://www.nike.com/t/zoom-rival-sd-2-track-field-throwing-shoes-oLb8zO/685134-004,https://www.goat.com/search?query=685134-004
CZ5915-161,Force Zoom Trout 8 Pro 'Playoff Pack',89.74,119.7,74.97,182,2022,https://www.nike.com/t/force-zoom-trout-8-pro-mens-baseball-cleats-sCDfSg/CZ5915-161,https://www.goat.com/search?query=CZ5915-161
FV6148-001,Huarache 9 Elite Mid LAX SE 'Football Grey Black',83.24,79.28,105,208,2023,https://www.nike.com/t/huarache-9-elite-tf-lax-se-lacrosse-shoes-HzkQZG/FV6148-001,https://www.goat.com/search?query=FV6148-001
FQ4112-008,Revolution 7 EasyOn 'Black Hyper Crimson',81.13,115.9,70,167,2024,https://www.nike.com/t/revolution-7-easyon-mens-road-running-shoes-Wsqj83/FQ4112-008,https://www.goat.com/search?query=FQ4112-008
DV6800-102,Victory Pro 3 Golf 'White Aquarius Blue',79.96,61.51,130,232,2024,https://www.nike.com/t/victory-pro-3-mens-golf-shoes-SsxNJ0/DV6800-102,https://www.goat.com/search?query=DV6800-102
