SKU,Name,Profit ($),Profit (%),Retail Price ($),Resale Price ($),Year,Nike Link,Goat Link
HF4826-100,Jordan True Flight 'Chlorophyll',76.25,51.0,150,250,2024,https://www.nike.com/t/jordan-true-flight-mens-shoes-w0Zl7P/HF4826-100,https://www.goat.com/search?query=HF4826-100
HF4826-100,Jordan True Flight 'Chlorophyll',76.25,51.0,150,250,2024,https://www.nike.com/t/jordan-true-flight-mens-shoes-w0Zl7P/HF4826-100,https://www.goat.com/search?query=HF4826-100
FV1303-600,Ja 1 TB 'University Red',71.86,60.0,120,212,2024,https://www.nike.com/t/ja-1-team-bank-basketball-shoes-SkKcP0/FV1303-600,https://www.goat.com/search?query=FV1303-600
FV1303-600,Ja 1 TB 'University Red',71.86,60.0,120,212,2024,https://www.nike.com/t/ja-1-team-bank-basketball-shoes-SkKcP0/FV1303-600,https://www.goat.com/search?query=FV1303-600
FZ3183-400,OffCourt Slide 'FC Barcelona',71.31,178.0,40,123,2024,https://www.nike.com/t/offcourt-england-soccer-slides-3B0x22/FZ3183-400,https://www.goat.com/search?query=FZ3183-400
FZ3183-400,OffCourt Slide 'FC Barcelona',71.31,178.0,40,123,2024,https://www.nike.com/t/offcourt-england-soccer-slides-3B0x22/FZ3183-400,https://www.goat.com/search?query=FZ3183-400
FZ3185-400,OffCourt Slide 'FC Barcelona',71.31,178.0,40,123,2024,https://www.nike.com/t/offcourt-fc-barcelona-soccer-slides-Dzt9LS/FZ3185-400,https://www.goat.com/search?query=FZ3185-400
FZ3187-400,OffCourt Slide 'FC Barcelona',71.31,178.0,40,123,2024,https://www.nike.com/t/offcourt-pumas-unam-soccer-slides-mF5bcd/FZ3187-400,https://www.goat.com/search?query=FZ3187-400
DV6798-105,Air Zoom Victory Tour 3 'White Barely Volt Grey',70.64,37.0,190,288,2024,https://www.nike.com/t/air-zoom-victory-tour-3-mens-golf-shoes-7jpWdB/DV6798-105,https://www.goat.com/search?query=DV6798-105
FJ2245-003,Air Pegasus 89 Golf 'Black Grey Life Lime',70.05,58.0,120,210,2024,https://www.nike.com/t/air-pegasus-89-g-golf-shoes-Jvm3TR/FJ2245-003,https://www.goat.com/search?query=FJ2245-003
FN6920-002,Air Max Pulse Roam 'Light Bone Desert Khaki',69.83,41.0,170,265,2024,https://www.nike.com/t/air-max-pulse-roam-mens-shoes-rg7NCQ/FN6920-002,https://www.goat.com/search?query=FN6920-002
DV1202-401,Roshe Golf Next Nature 'Armory Navy Green Frost',69.28,77.0,90,176,2024,https://www.nike.com/t/roshe-g-next-nature-mens-golf-shoes-CdMxPX/DV1202-401,https://www.goat.com/search?query=DV1202-401
DV1202-401,Roshe Golf Next Nature 'Armory Navy Green Frost',69.28,77.0,90,176,2024,https://www.nike.com/t/roshe-g-next-nature-mens-golf-shoes-CdMxPX/DV1202-401,https://www.goat.com/search?query=DV1202-401
DX9028-004,Victory Pro 3 Wide 'Pure Platinum Volt',68.19,52.0,130,219,2024,https://www.nike.com/t/victory-pro-3-mens-golf-shoes-wide-SLGNft/DX9028-004,https://www.goat.com/search?query=DX9028-004
FQ1831-002,MC Trainer 3 'Cement Grey Lemon Twist',67.52,84.0,80,163,2024,https://www.nike.com/t/mc-trainer-3-mens-workout-shoes-3tMBhp/FQ1831-002,https://www.goat.com/search?query=FQ1831-002
CW4555-017,Air Max SC 'Black Aegean Storm',67.47,75.0,90,174,2024,https://www.nike.com/t/air-max-sc-mens-shoes-LR42xg/CW4555-017,https://www.goat.com/search?query=CW4555-017
DV0740-005,Flex Experience Run 12 'Black Concord Green Frost',66.18,88.0,75,156,2024,https://www.nike.com/t/flex-experience-run-12-mens-road-running-shoes-lqThC9/DV0740-005,https://www.goat.com/search?query=DV0740-005
BQ6806-003,Blazer Mid '77 Vintage 'Black Sesame',66.05,63.0,105,189,2024,https://www.nike.com/t/blazer-mid-77-vintage-mens-shoes-nw30B2/BQ6806-003,https://www.goat.com/search?query=BQ6806-003
FQ3248-300,Tiempo Legend 10 Elite FG 'Emerald',64.53,46.0,140,226,,https://www.nike.com/t/tiempo-emerald-legend-10-pro-fg-low-top-soccer-cleats-22lhdW/FQ3248-300,https://www.goat.com/search?query=FQ3248-300
FQ3248-300,Tiempo Legend 10 Elite FG 'Emerald',64.53,46.0,140,226,,https://www.nike.com/t/tiempo-emerald-legend-10-pro-fg-low-top-soccer-cleats-22lhdW/FQ3248-300,https://www.goat.com/search?query=FQ3248-300
FJ4195-003,Waffle Debut 'Flat Pewter',63.9,80.0,80,159,2024,https://www.nike.com/t/waffle-nav-mens-shoes-CC5hwR/FJ4195-003,https://www.goat.com/search?query=FJ4195-003
